filepath,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_CLD_006_jpg.rf.b843c949e36492f383d11c835e8288a8.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0610_JPG_jpg.rf.f9fe9011ec072656289c9c80e45cd66f.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_CMDdh_029_jpg.rf.2933d3939086859abfb2dee3cf713f45.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0707_jpg.rf.92d77e36d5d9cf90a1d1545fd7cca574.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0722_jpg.rf.3f2f11e2e39df2cf3b62da87156e3011.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0015_jpg.rf.dc691642377c3640fc7997a1b309a94b.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0707_jpg.rf.f929bc8f73222f4346ff5b443474f693.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0707_jpg.rf.5cf428298bb0000f4e9b1acab41c0069.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_CMDv_014_jpg.rf.5486965ce5228625c113f646f470598d.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0040_jpg.rf.0d95457f3d8b9a16d39e2aaf95c2248d.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_IMG_8478_jpg.rf.f13413064581def78b7fa802a9e6e4df.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_CMDdh_087_jpg.rf.a284ec3d53cc5b0d74bfad7da4009d3c.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_IMG_8010_jpg.rf.9d0e61a65c0ce0c6e091c1fb7c8ea45b.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC08626_JPG_jpg.rf.40abf73681f7d2d63c212f936522a384.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0099_JPG_jpg.rf.ffe45de44b437da30b48c2220e454fa8.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0720_jpg.rf.57820c5a0b82f106c5d5956ec4db9d89.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_CSD_298_jpg.rf.6deb36781fcfb1152a93f14a4ee090f0.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0674_JPG_jpg.rf.0d079c20f0c9221c04dc9aedcbc8a54b.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_3285_jpg.rf.7871b991fd8ebf4e717b38b61c7f612a.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0341_JPG_jpg.rf.1c8db44e41520b97ad958f05376e5008.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0015_jpg.rf.49f0def6f4f049d63e43b2354b62d669.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0674_JPG_jpg.rf.fcbf232927c1a38d97c2e0742cefcf1b.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_IMG_8478_jpg.rf.3346ab0761b0bfca6fb0c2d8ffc3c75d.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0610_JPG_jpg.rf.8ab50c2fb895ad97fc721c05c5d6f464.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_CSD_255_jpg.rf.bf7cc9a345b598aeb0366e4e4061ede4.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0722_jpg.rf.fb2ae0b031999ac8451a8f192bade728.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0720_jpg.rf.cce4a319129aa0340a08b4ff748ef793.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0015_jpg.rf.420840af68bf22c251d3762b1354236a.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0018_JPG_jpg.rf.0f3af3d6b5fd9339abc24ab0df40bdc3.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_IMG_8478_jpg.rf.ef5088cd12e7495b3281bd3ddc41d12d.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0569_jpg.rf.7dd7953175855e6a2284a24bef3cfb74.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_3285_jpg.rf.070269238dd4f1c830cd59561492f7d6.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0674_JPG_jpg.rf.02b3b0651a85665082ad765b49134856.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0340_jpg.rf.9f57e43c50600bd55fbfbd127cc046fe.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_CLD_006_jpg.rf.b35b7469a7424b89c8e9a66a44a6b94c.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_IMAG0625_jpg.rf.75cd7b5714e9b24e7c8716444d81e175.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0229_JPG_jpg.rf.a73d0f1b2da4f8c4674854d67d3e2975.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_3285_jpg.rf.9c5f7c4e9909e5c129caf4f33e5b4896.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_CSD_255_jpg.rf.4f64c70a4647e5af6f9420d50be472bf.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_CSD_298_jpg.rf.6d1cdd7964de27afc33bd76d0301ca81.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_IMG_1777_jpg.rf.2b1fe2fc7d5ab02f02f13e9c1867f2b8.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0229_JPG_jpg.rf.69aac5986d42f31421c7511744b83f32.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0781_jpg.rf.80cedff95f74084dffe1d0052a5f6828.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_CMDdh_017_jpg.rf.783e2a9ea351c83ae82df243b409fc52.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_IMG_8010_jpg.rf.53c920f1aabd12697645fb7fda7e813e.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_IMG_4759_JPG_jpg.rf.f3f929e90a3d8e5ef292665b1be4173e.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0018_JPG_jpg.rf.8396218b23e715630d0a3cedf7a15c1d.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC08626_JPG_jpg.rf.5b52361cab9320bbae6f654edbc12589.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_CMDdh_029_jpg.rf.fb1ec53ddc87a37c2c82ec172d123e7f.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_CLD_007_jpg.rf.e8bcfd046e2e61829322ec1d72fee35f.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0040_jpg.rf.65a928295939b5cf1e8ac9e488c2fb07.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0722_jpg.rf.4372b1beced218dbe8b9b22204cef820.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0675_JPG_jpg.rf.6ec2269a488c9ab207e537c3e26b8a52.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0713_jpg.rf.9994f88b08a668c2405b8cf4008c3024.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_45_jpg.rf.7d38022f37512f65374caafea57f8c35.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0091_JPG_jpg.rf.09253accd067c3a8501d69293ff6387c.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0781_jpg.rf.21f772a20216d9a254fc36fdbfb5f8c3.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0720_jpg.rf.931479261c9548cc11d4054d62d0b4d8.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0227_JPG_jpg.rf.23bd89ce38662f6c99080fd4cbcfad2e.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_CMDv_014_jpg.rf.0baab0cc81088e3092ec0ad2ede9be84.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0675_JPG_jpg.rf.21b0522340652a5295a936c688da5bbd.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_IMAG0625_jpg.rf.eec782c9d514d31ef43fb3e84120d15e.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_CMDdh_087_jpg.rf.df9aa8f6b6aae144c669b1c13b428dd8.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_CMDdh_017_jpg.rf.28d8814245cb3a81e1cf9851ce92298f.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0227_JPG_jpg.rf.dc263228de6d4cdacbb1d9ce2c35a806.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0341_JPG_jpg.rf.a4c6e429401ae27117849425d621eadd.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_IMG_4759_JPG_jpg.rf.34ed201a7dcf70748771ffb04ce8ea34.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_CMDdh_017_jpg.rf.1892686eb97d9ede1a83f35482432733.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0040_jpg.rf.3bcc3b755a0f365900d9f81929ad5471.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0713_jpg.rf.e7c21d2b585dd1a0b39419c81a2d8488.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0781_jpg.rf.d26300c52a1d5ec1bd4017807d4ac4fb.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0099_JPG_jpg.rf.9105b408af57a7777ce0f7c53d54ae49.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_IMG_1777_jpg.rf.dd5d95a9ac5bd53b683419046f2746af.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_IMG_4759_JPG_jpg.rf.dbff86f9cef2fbee9bc8a0741b2d6753.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_image2185_jpg.rf.036226c215148a0011cb89b1497fca17.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_CLD_006_jpg.rf.08ae2d167dff38e6fa1a42efe6160bf7.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0091_JPG_jpg.rf.51f2c6afd004445599df46d99034ff1d.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_CMDv_014_jpg.rf.c65a1b2966a5f1f0e5a88f9e0f5c54d1.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0341_JPG_jpg.rf.7ce0357ec2ec0d09934548216fbcbd6c.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0229_JPG_jpg.rf.e0af8194b55abe28a3c67e59988d7e80.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0099_JPG_jpg.rf.ae7e52290343b39c7f0a806e08c34a35.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC08626_JPG_jpg.rf.8b604bea434fbccbe4c04de6179cf1c6.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_CMDdh_087_jpg.rf.0c331dacf581758c1397dfa0860391a9.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0569_jpg.rf.1f9784f66ba8a7c3ee3fef3c65881100.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0713_jpg.rf.9a1bcef7ce1cbf4a818d98833bf2db0f.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_image2185_jpg.rf.01dffaee883a01e7abfc58cc3d74bc80.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0569_jpg.rf.ff10538a11f85e77b0b3ae73996c91a1.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0227_JPG_jpg.rf.809aa25f53399cab61455fb37ed09044.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0675_JPG_jpg.rf.28fcc2c50a038bf3a8a82179ceba35f3.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0340_jpg.rf.034feb9cbde12545bf7047c6c05e5f58.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_CLD_007_jpg.rf.140330eb0156948f401e94a5ae6b7e37.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_CSD_298_jpg.rf.3e90a806196521f92a7b144769a8b72c.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_IMG_1777_jpg.rf.0628a888c606e756e0fb0b65ef0227e1.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_45_jpg.rf.5bfde6f660465b5796e6d79c169ab8dc.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0340_jpg.rf.2f815a86f8a14cbe8efdd50fe8ccfe26.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_45_jpg.rf.06dce0e5ea265bf0445b0e517bab575a.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/7_Discontinuous vertical cracks 8_Continuous horizontal cracks/cropped_DSC_0433_jpg.rf.8ffa4b1cebacad0a23362226500694b2.jpg,0,0,0,0,0,0,0,1,1,0,0
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/7_Discontinuous vertical cracks 8_Continuous horizontal cracks/cropped_DSC_0711_jpg.rf.c5c6661dc4b3f2ea4acc5816874dcaa4.jpg,0,0,0,0,0,0,0,1,1,0,0
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/7_Discontinuous vertical cracks 8_Continuous horizontal cracks/cropped_DSC_0711_jpg.rf.6e7af9483b114692dec331649d5635a8.jpg,0,0,0,0,0,0,0,1,1,0,0
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/7_Discontinuous vertical cracks 8_Continuous horizontal cracks/cropped_DSC_0433_jpg.rf.fb7f66a71e73d3bd374fbe37bd072a4e.jpg,0,0,0,0,0,0,0,1,1,0,0
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/7_Discontinuous vertical cracks 8_Continuous horizontal cracks/cropped_DSC_0433_jpg.rf.a8052cc2f2b9c8024b9f28a93e0fb807.jpg,0,0,0,0,0,0,0,1,1,0,0
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/7_Discontinuous vertical cracks 8_Continuous horizontal cracks/cropped_DSC_0711_jpg.rf.9cfd53bf47443cb9c880792af10c160a.jpg,0,0,0,0,0,0,0,1,1,0,0
